"Month","Day","num_rides"
"Apr",1,14546
"Apr",2,17474
"Apr",3,20701
"Apr",4,26714
"Apr",5,19521
"Apr",6,13445
"Apr",7,19550
"Apr",8,16188
"Apr",9,16843
"Apr",10,20041
"Apr",11,20420
"Apr",12,18170
"Apr",13,12112
"Apr",14,12674
"Apr",15,20641
"Apr",16,17717
"Apr",17,20973
"Apr",18,18074
"Apr",19,14602
"Apr",20,11017
"Apr",21,13162
"Apr",22,16975
"Apr",23,20346
"Apr",24,23352
"Apr",25,25095
"Apr",26,24925
"Apr",27,14677
"Apr",28,15475
"Apr",29,22835
"Apr",30,36251
"May",1,23375
"May",2,24235
"May",3,22234
"May",4,13918
"May",5,17859
"May",6,19300
"May",7,21891
"May",8,27513
"May",9,26385
"May",10,22550
"May",11,14901
"May",12,17470
"May",13,19498
"May",14,22218
"May",15,26301
"May",16,32493
"May",17,22294
"May",18,16508
"May",19,18315
"May",20,20860
"May",21,23508
"May",22,26802
"May",23,26465
"May",24,14651
"May",25,10841
"May",26,10202
"May",27,17004
"May",28,22240
"May",29,24930
"May",30,24413
"May",31,21261
"Jun",1,15967
"Jun",2,17503
"Jun",3,22674
"Jun",4,22831
"Jun",5,28371
"Jun",6,24683
"Jun",7,20889
"Jun",8,15749
"Jun",9,23244
"Jun",10,22874
"Jun",11,25716
"Jun",12,29844
"Jun",13,31207
"Jun",14,19327
"Jun",15,14511
"Jun",16,17778
"Jun",17,21807
"Jun",18,24647
"Jun",19,28594
"Jun",20,24271
"Jun",21,19940
"Jun",22,16322
"Jun",23,17735
"Jun",24,20779
"Jun",25,26460
"Jun",26,28516
"Jun",27,24895
"Jun",28,21208
"Jun",29,17107
"Jun",30,18395
"Jul",1,21228
"Jul",2,26480
"Jul",3,21597
"Jul",4,14148
"Jul",5,10890
"Jul",6,11443
"Jul",7,18280
"Jul",8,25763
"Jul",9,27817
"Jul",10,30541
"Jul",11,28752
"Jul",12,25936
"Jul",13,21082
"Jul",14,27350
"Jul",15,33845
"Jul",16,28607
"Jul",17,30710
"Jul",18,29860
"Jul",19,25726
"Jul",20,21212
"Jul",21,23578
"Jul",22,29029
"Jul",23,34073
"Jul",24,32050
"Jul",25,29975
"Jul",26,27708
"Jul",27,22590
"Jul",28,23981
"Jul",29,27589
"Jul",30,30740
"Jul",31,33541
"Aug",1,32353
"Aug",2,28678
"Aug",3,23146
"Aug",4,24952
"Aug",5,28094
"Aug",6,30495
"Aug",7,32759
"Aug",8,30411
"Aug",9,26286
"Aug",10,20584
"Aug",11,22632
"Aug",12,29646
"Aug",13,29788
"Aug",14,30457
"Aug",15,28974
"Aug",16,26234
"Aug",17,21209
"Aug",18,21956
"Aug",19,24834
"Aug",20,27955
"Aug",21,32304
"Aug",22,29512
"Aug",23,27097
"Aug",24,22036
"Aug",25,22093
"Aug",26,24550
"Aug",27,27018
"Aug",28,28597
"Aug",29,27424
"Aug",30,23930
"Aug",31,23271
"Sep",1,19961
"Sep",2,28831
"Sep",3,32631
"Sep",4,38360
"Sep",5,42319
"Sep",6,40520
"Sep",7,30134
"Sep",8,30360
"Sep",9,34560
"Sep",10,35910
"Sep",11,36439
"Sep",12,39540
"Sep",13,43205
"Sep",14,28122
"Sep",15,29454
"Sep",16,36092
"Sep",17,35531
"Sep",18,40274
"Sep",19,41017
"Sep",20,38864
"Sep",21,28620
"Sep",22,28312
"Sep",23,30316
"Sep",24,31301
"Sep",25,38203
"Sep",26,37504
"Sep",27,39468
"Sep",28,29656
"Sep",29,29201
"Sep",30,33431
